name,rate,votes,location,cuisines,approx_cost(for two people),online_order,book_table
McDonald's,3.4,1150,Whitefield,Pizza,1000,No,No
Cafe Coffee Day,4.1,1790,JP Nagar,Pizza,800,No,Yes
Local Restaurant 2,3.7,2314,Indiranagar,Italian,400,Yes,No
Meghana Foods,3.3,1682,Indiranagar,American,900,Yes,No
Burger King,4.2,1207,Banashankari,Italian,1200,Yes,No
Truffles,4.1,1243,Banashankari,Fast Food,1000,Yes,No
Subway,4.0,901,BTM,Multi Cuisine,1200,No,Yes
Meghana Foods,4.8,103,BTM,Cafe,800,Yes,Yes
Pizza Hut,4.4,1887,Koramangala,Multi Cuisine,600,Yes,No
Domino's Pizza,4.1,1153,Koramangala,Cafe,700,Yes,No
Truffles,4.3,654,BTM,Fast Food,700,Yes,No
Pizza Hut,4.0,430,Banashankari,Chinese,1400,No,No
Burger King,4.3,2398,Whitefield,Pizza,500,Yes,No
McDonald's,3.6,637,Jayanagar,North Indian,400,No,No
McDonald's,3.8,142,MG Road,North Indian,600,No,No
Cafe Coffee Day,3.3,1327,Jayanagar,Cafe,500,Yes,No
Local Restaurant 16,4.9,1066,Whitefield,Cafe,1400,Yes,Yes
Local Restaurant 17,3.8,1024,Marathahalli,American,700,No,No
Subway,4.1,1025,JP Nagar,North Indian,600,No,Yes
Domino's Pizza,4.4,559,MG Road,Italian,400,No,No
Meghana Foods,4.3,1273,JP Nagar,Biryani,600,No,No
Local Restaurant 21,3.9,2421,Koramangala,North Indian,500,Yes,Yes
Domino's Pizza,4.1,1672,Whitefield,Chinese,1000,No,Yes
Pizza Hut,4.1,98,Whitefield,Multi Cuisine,800,Yes,No
Pizza Hut,3.4,1609,Banashankari,Chinese,1000,Yes,Yes
Local Restaurant 25,4.0,1330,Marathahalli,Cafe,700,No,No
Local Restaurant 26,4.7,950,MG Road,Multi Cuisine,400,No,Yes
Meghana Foods,4.2,161,BTM,Biryani,800,Yes,No
Pizza Hut,3.5,1712,Banashankari,Cafe,600,No,Yes
Local Restaurant 29,4.7,1923,Indiranagar,Pizza,800,Yes,Yes
McDonald's,4.2,964,Koramangala,American,500,Yes,No
Domino's Pizza,4.1,2143,JP Nagar,Fast Food,900,No,No
Empire Restaurant,4.6,2424,Marathahalli,South Indian,1400,No,No
Local Restaurant 33,3.6,1349,BTM,Chinese,600,Yes,No
McDonald's,3.5,2019,Koramangala,Cafe,800,Yes,Yes
Cafe Coffee Day,3.8,2253,JP Nagar,Italian,1000,No,Yes
KFC,3.2,166,Jayanagar,Italian,1400,No,No
Meghana Foods,3.9,1858,BTM,American,700,No,Yes
Truffles,3.4,1490,JP Nagar,South Indian,1200,No,No
Local Restaurant 39,4.1,1330,Indiranagar,Pizza,1000,Yes,No
Truffles,4.3,767,Banashankari,Biryani,800,No,Yes
Local Restaurant 41,4.6,154,Banashankari,Cafe,900,Yes,Yes
Truffles,4.0,1518,Jayanagar,South Indian,500,Yes,No
Domino's Pizza,4.3,655,Koramangala,Cafe,500,Yes,Yes
Cafe Coffee Day,3.6,1926,BTM,Cafe,1200,No,Yes
Burger King,3.7,1656,JP Nagar,Multi Cuisine,500,Yes,Yes
Domino's Pizza,3.7,1832,JP Nagar,Cafe,700,No,Yes
Subway,4.5,2250,Banashankari,American,1200,Yes,No
Burger King,4.6,620,Whitefield,Pizza,700,No,Yes
Local Restaurant 49,4.8,533,MG Road,Cafe,700,Yes,No
Meghana Foods,4.2,556,Marathahalli,Biryani,1000,No,Yes
KFC,3.7,1082,Banashankari,Fast Food,400,No,No
Meghana Foods,3.4,2385,HSR,Multi Cuisine,1400,Yes,Yes
Cafe Coffee Day,4.8,669,HSR,Fast Food,900,No,No
Empire Restaurant,4.0,2172,BTM,American,700,Yes,Yes
KFC,4.7,1666,Marathahalli,South Indian,700,No,Yes
Local Restaurant 56,3.8,1157,Jayanagar,Biryani,500,Yes,Yes
Meghana Foods,4.1,1398,Marathahalli,Cafe,600,No,Yes
KFC,4.1,354,MG Road,Italian,600,No,No
KFC,4.2,1954,Jayanagar,Multi Cuisine,1200,No,No
Cafe Coffee Day,3.7,423,Banashankari,Pizza,800,Yes,Yes
Pizza Hut,4.3,876,BTM,Pizza,1000,Yes,Yes
KFC,4.9,129,MG Road,American,800,No,Yes
KFC,3.6,860,JP Nagar,Italian,900,No,No
McDonald's,3.7,1318,Whitefield,Italian,400,Yes,Yes
KFC,4.8,164,Jayanagar,Chinese,1000,Yes,Yes
Domino's Pizza,4.7,2057,Banashankari,American,900,No,Yes
Domino's Pizza,3.3,2259,Jayanagar,Multi Cuisine,400,No,Yes
Domino's Pizza,4.5,1401,HSR,Multi Cuisine,500,No,Yes
Local Restaurant 69,3.3,995,BTM,Fast Food,400,Yes,Yes
Cafe Coffee Day,4.2,1093,Indiranagar,Pizza,900,Yes,No
Meghana Foods,4.5,587,Marathahalli,Biryani,1200,Yes,Yes
Subway,4.5,1364,BTM,Cafe,1000,Yes,No
McDonald's,3.9,984,JP Nagar,Pizza,400,Yes,No
Local Restaurant 74,4.5,611,BTM,Cafe,900,Yes,No
Truffles,4.0,787,MG Road,Biryani,400,Yes,Yes
Domino's Pizza,4.4,509,Whitefield,Fast Food,1000,No,Yes
Meghana Foods,4.4,521,MG Road,Pizza,700,Yes,Yes
Subway,4.7,1714,HSR,Multi Cuisine,1200,No,No
Local Restaurant 79,4.5,961,Indiranagar,Chinese,700,Yes,Yes
Local Restaurant 80,3.8,1983,Whitefield,Biryani,500,No,Yes
McDonald's,4.7,90,BTM,American,1200,No,Yes
Domino's Pizza,3.9,1230,HSR,American,1400,Yes,Yes
Local Restaurant 83,4.1,789,Jayanagar,North Indian,800,No,No
Burger King,4.3,2113,Indiranagar,Multi Cuisine,900,Yes,Yes
Local Restaurant 85,3.8,1299,Banashankari,Fast Food,1200,No,Yes
Cafe Coffee Day,3.9,1226,BTM,Multi Cuisine,700,Yes,Yes
Cafe Coffee Day,3.3,2170,HSR,Cafe,500,Yes,No
Cafe Coffee Day,3.3,1715,BTM,Biryani,400,Yes,No
Subway,3.8,1748,BTM,Cafe,1200,No,No
Local Restaurant 90,3.9,187,Koramangala,American,400,Yes,Yes
Local Restaurant 91,3.5,1407,Indiranagar,North Indian,400,Yes,No
Empire Restaurant,3.6,2198,BTM,Italian,700,Yes,No
Cafe Coffee Day,3.4,880,Koramangala,Multi Cuisine,1000,No,Yes
Meghana Foods,3.4,783,BTM,Fast Food,400,Yes,Yes
McDonald's,4.3,166,Marathahalli,American,1200,No,Yes
Truffles,4.3,721,JP Nagar,Chinese,400,No,No
McDonald's,4.7,254,Jayanagar,Biryani,1200,No,No
Local Restaurant 98,4.5,1814,JP Nagar,Chinese,800,No,Yes
Meghana Foods,4.4,1031,Banashankari,Italian,400,Yes,Yes
Cafe Coffee Day,4.0,1643,BTM,Pizza,800,Yes,No
Domino's Pizza,4.3,1465,Marathahalli,Biryani,1000,No,Yes
McDonald's,3.9,403,HSR,Pizza,700,No,Yes
Local Restaurant 103,3.7,1452,Banashankari,Chinese,700,No,No
Burger King,4.3,1513,Indiranagar,Pizza,700,Yes,No
Local Restaurant 105,3.5,1580,Whitefield,Fast Food,600,Yes,Yes
Burger King,4.2,1352,BTM,Italian,1000,Yes,No
Truffles,4.4,113,Jayanagar,Fast Food,400,No,No
